scraped_at,spieltag,player,match_index,home,away,group,result,pick,points
2026-06-18T12:52:58+00:00,3,p11,5,England,Croatia,Group L,4-2,3-2,2
2026-06-18T12:52:58+00:00,3,self,5,England,Croatia,Group L,4-2,1-0,2
2026-06-18T12:52:58+00:00,3,p10,5,England,Croatia,Group L,4-2,3-1,3
2026-06-18T12:52:58+00:00,3,p09,5,England,Croatia,Group L,4-2,2-1,2
2026-06-18T12:52:58+00:00,3,p06,5,England,Croatia,Group L,4-2,2-1,2
2026-06-18T12:52:58+00:00,3,p04,5,England,Croatia,Group L,4-2,3-1,3
2026-06-18T12:52:58+00:00,3,p07,6,Ghana,Panama,Group L,1-0,2-1,3
2026-06-18T12:52:58+00:00,3,p02,6,Ghana,Panama,Group L,1-0,1-0,4
2026-06-18T12:52:58+00:00,3,p08,6,Ghana,Panama,Group L,1-0,1-1,0
2026-06-18T12:52:58+00:00,3,p05,6,Ghana,Panama,Group L,1-0,2-0,2
2026-06-18T12:52:58+00:00,3,p01,6,Ghana,Panama,Group L,1-0,0-0,0
2026-06-18T12:52:58+00:00,3,p03,6,Ghana,Panama,Group L,1-0,1-0,4
2026-06-18T12:52:58+00:00,3,p11,6,Ghana,Panama,Group L,1-0,2-1,3
2026-06-18T12:52:58+00:00,3,self,6,Ghana,Panama,Group L,1-0,1-0,4
2026-06-18T12:52:58+00:00,3,p10,6,Ghana,Panama,Group L,1-0,2-1,3
2026-06-18T12:52:58+00:00,3,p09,6,Ghana,Panama,Group L,1-0,1-1,0
2026-06-18T12:52:58+00:00,3,p06,6,Ghana,Panama,Group L,1-0,1-0,4
2026-06-18T12:52:58+00:00,3,p04,6,Ghana,Panama,Group L,1-0,2-2,0
2026-06-18T12:52:58+00:00,3,p07,7,Uzbekistan,Colombia,Group K,1-3,0-3,2
2026-06-18T12:52:58+00:00,3,p02,7,Uzbekistan,Colombia,Group K,1-3,0-1,2
2026-06-18T12:52:58+00:00,3,p08,7,Uzbekistan,Colombia,Group K,1-3,0-2,3
2026-06-18T12:52:58+00:00,3,p05,7,Uzbekistan,Colombia,Group K,1-3,0-2,3
2026-06-18T12:52:58+00:00,3,p01,7,Uzbekistan,Colombia,Group K,1-3,0-0,0
2026-06-18T12:52:58+00:00,3,p03,7,Uzbekistan,Colombia,Group K,1-3,1-2,2
2026-06-18T12:52:58+00:00,3,p11,7,Uzbekistan,Colombia,Group K,1-3,2-2,0
2026-06-18T12:52:58+00:00,3,self,7,Uzbekistan,Colombia,Group K,1-3,0-2,3
2026-06-18T12:52:58+00:00,3,p10,7,Uzbekistan,Colombia,Group K,1-3,1-1,0
2026-06-18T12:52:58+00:00,3,p09,7,Uzbekistan,Colombia,Group K,1-3,1-3,4
2026-06-18T12:52:58+00:00,3,p06,7,Uzbekistan,Colombia,Group K,1-3,0-3,2
2026-06-18T12:52:58+00:00,3,p04,7,Uzbekistan,Colombia,Group K,1-3,1-2,2
2026-06-20T15:21:44+00:00,4,p07,0,Czech Republic,South Africa,Group A,1-1,0-0,2
2026-06-20T15:21:44+00:00,4,p02,0,Czech Republic,South Africa,Group A,1-1,1-1,4
2026-06-20T15:21:44+00:00,4,p08,0,Czech Republic,South Africa,Group A,1-1,2-0,0
2026-06-20T15:21:44+00:00,4,p05,0,Czech Republic,South Africa,Group A,1-1,1-0,0
2026-06-20T15:21:44+00:00,4,p01,0,Czech Republic,South Africa,Group A,1-1,1-0,0
2026-06-20T15:21:44+00:00,4,p11,0,Czech Republic,South Africa,Group A,1-1,2-1,0
2026-06-20T15:21:44+00:00,4,self,0,Czech Republic,South Africa,Group A,1-1,1-0,0
2026-06-20T15:21:44+00:00,4,p10,0,Czech Republic,South Africa,Group A,1-1,1-1,4
2026-06-20T15:21:44+00:00,4,p09,0,Czech Republic,South Africa,Group A,1-1,1-1,4
2026-06-20T15:21:44+00:00,4,p06,0,Czech Republic,South Africa,Group A,1-1,1-0,0
2026-06-20T15:21:44+00:00,4,p04,0,Czech Republic,South Africa,Group A,1-1,2-3,0
2026-06-20T15:21:44+00:00,4,p07,1,Switzerland,Bosnien-Herzegowina,Group B,4-1,0-0,0
2026-06-20T15:21:44+00:00,4,p02,1,Switzerland,Bosnien-Herzegowina,Group B,4-1,3-1,2
2026-06-20T15:21:44+00:00,4,p08,1,Switzerland,Bosnien-Herzegowina,Group B,4-1,1-1,0
2026-06-20T15:21:44+00:00,4,p05,1,Switzerland,Bosnien-Herzegowina,Group B,4-1,1-0,2
2026-06-20T15:21:44+00:00,4,p01,1,Switzerland,Bosnien-Herzegowina,Group B,4-1,1-0,2
2026-06-20T15:21:44+00:00,4,p11,1,Switzerland,Bosnien-Herzegowina,Group B,4-1,3-1,2
